proj,variant,gk,M,N,K,tileM,avg_us
qkv,w4a8_pc,inf,512,7168,1024,128,45.20
qkv,w4a8_mg_sym,1024,512,7168,1024,128,41.84
qkv,w4a8_mg_asym,1024,512,7168,1024,128,44.55
qkv,w4a8_pc,inf,1024,7168,1024,128,75.29
qkv,w4a8_mg_sym,1024,1024,7168,1024,128,68.62
qkv,w4a8_mg_asym,1024,1024,7168,1024,128,74.92
