batch,bf16_us,vllm_w8a8_us,nitro_w8a8_us,ours_w4a8_us,ours_prequant_us
1,1185.370,1466.319,nan,1410.720,1150.589
16,1738.046,1226.743,nan,1130.495,1046.950
64,3319.645,2730.863,nan,2566.660,2582.713
128,5214.984,4581.103,6803.644,4653.000,4597.228
