batch,nonproj_us,bf16_us,w8a8_us,w8a8_pq_us,w4a8_mlp_us,w4a8_all4_us,w4a8_pq_us
1,77.295,958.293,499.327,483.697,431.119,376.619,347.990
16,145.032,1193.704,610.564,579.534,559.096,508.056,468.886
64,405.897,1666.484,997.650,936.974,918.456,880.831,831.962
128,710.001,1999.855,1286.794,1208.187,1381.018,1351.491,1297.383
