arm,layers,tp,pp,graph,cudagraph_mode,batch,prompt_len,out_len,total_s,gen_tok,step_us,per_layer_us,throughput_tok_s,prefill_ms,async_sched
w8a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,1,8192,64,2.2947,64,35855.04,560.235,27.89,2782.30,1
w8a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,8,8192,64,2.7678,512,43246.18,675.721,184.99,21973.08,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,1,128,64,1.8104,64,28286.89,441.983,35.35,169.86,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,8,128,64,2.0862,512,32596.43,509.319,245.43,446.13,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,64,1.8376,64,28712.96,448.640,34.83,406.75,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,8,1024,64,2.1579,512,33717.04,526.829,237.27,2977.78,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,1,4096,64,1.9832,64,30987.59,484.181,32.27,1500.98,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,8,4096,64,2.4451,512,38204.49,596.945,209.40,11772.52,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,1,8192,64,2.1661,64,33845.90,528.842,29.55,3015.63,1
w4a8-native,64,4,1,aclgraph,FULL_DECODE_ONLY,8,8192,64,2.7279,512,42623.29,665.989,187.69,23789.50,1
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,256,8.7825,256,34306.82,536.044,29.15,401.51,0
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,16,1024,256,10.8343,4096,42321.29,661.270,378.06,5906.17,0
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,64,1024,256,17.3492,16384,67770.16,1058.909,944.37,23226.80,0
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,128,1024,256,25.1158,32768,98108.47,1532.945,1304.68,46461.76,0
bf16,64,4,1,aclgraph,FULL_DECODE_ONLY,256,1024,256,43.0691,65536,168238.80,2628.731,1521.65,92935.47,0
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,1,1024,256,7.5454,256,29474.15,460.534,33.93,398.89,0
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,16,1024,256,9.6832,4096,37825.18,591.018,423.00,6099.75,0
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,64,1024,256,16.6918,16384,65202.21,1018.785,981.56,23894.49,0
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,128,1024,256,25.4811,32768,99535.72,1555.246,1285.97,47758.06,0
w4a8,64,4,1,aclgraph,FULL_DECODE_ONLY,256,1024,256,43.3029,65536,169152.10,2643.002,1513.43,95578.19,0
