M,K,us
1,5120,7.15974
1,27648,6.92874
4,5120,6.43852
4,27648,9.5844
16,5120,9.04538
16,27648,10.1472
64,5120,9.53258
64,27648,22.4583
128,5120,11.699
128,27648,38.8254
512,5120,28.4824
512,27648,132.725
1024,5120,52.3844
1024,27648,260.16
