proj,tileM,M,N,K,base_us,band_us,delta_pct
gate_up,64,64,55296,5120,186.82,186.44,-0.20
gate_up,16,16,55296,5120,137.79,137.18,-0.44
down,64,64,5120,27648,108.09,108.54,0.42
down,16,16,5120,27648,77.22,76.63,-0.76
