proj,variant,gk,M,N,K,tileM,avg_us
qkv,w8a8,-,1,7168,5120,16,41.03
qkv,w4a8_pc,inf,1,7168,5120,16,28.55
qkv,w4a8_mg,1024,1,7168,5120,16,30.95
qkv,w4a8_mg,512,1,7168,5120,16,44.56
qkv,w4a8_mg,256,1,7168,5120,16,76.84
qkv,w8a8,-,16,7168,5120,16,40.75
qkv,w4a8_pc,inf,16,7168,5120,16,27.98
qkv,w4a8_mg,1024,16,7168,5120,16,31.50
qkv,w4a8_mg,512,16,7168,5120,16,44.90
qkv,w4a8_mg,256,16,7168,5120,16,76.98
qkv,w8a8,-,64,7168,5120,64,46.04
qkv,w4a8_pc,inf,64,7168,5120,64,34.26
qkv,w4a8_mg,1024,64,7168,5120,64,38.61
qkv,w4a8_mg,512,64,7168,5120,64,52.82
qkv,w4a8_mg,256,64,7168,5120,64,84.62
qkv,w8a8,-,512,7168,5120,128,121.07
qkv,w4a8_pc,inf,512,7168,5120,128,107.09
qkv,w4a8_mg,1024,512,7168,5120,128,149.14
qkv,w4a8_mg,512,512,7168,5120,128,225.74
qkv,w4a8_mg,256,512,7168,5120,128,420.39
qkv,w8a8,-,1024,7168,5120,128,208.07
qkv,w4a8_pc,inf,1024,7168,5120,128,187.36
qkv,w4a8_mg,1024,1024,7168,5120,128,271.66
qkv,w4a8_mg,512,1024,7168,5120,128,421.10
qkv,w4a8_mg,256,1024,7168,5120,128,794.47
o,w8a8,-,1,5120,5120,16,31.99
o,w4a8_pc,inf,1,5120,5120,16,23.51
o,w4a8_mg,1024,1,5120,5120,16,26.61
o,w4a8_mg,512,1,5120,5120,16,36.16
o,w4a8_mg,256,1,5120,5120,16,58.86
o,w8a8,-,16,5120,5120,16,32.69
o,w4a8_pc,inf,16,5120,5120,16,24.43
o,w4a8_mg,1024,16,5120,5120,16,26.67
o,w4a8_mg,512,16,5120,5120,16,35.90
o,w4a8_mg,256,16,5120,5120,16,58.81
o,w8a8,-,64,5120,5120,64,36.11
o,w4a8_pc,inf,64,5120,5120,64,28.38
o,w4a8_mg,1024,64,5120,5120,64,30.55
o,w4a8_mg,512,64,5120,5120,64,41.31
o,w4a8_mg,256,64,5120,5120,64,63.38
o,w8a8,-,512,5120,5120,128,91.13
o,w4a8_pc,inf,512,5120,5120,128,77.10
o,w4a8_mg,1024,512,5120,5120,128,105.96
o,w4a8_mg,512,512,5120,5120,128,156.80
o,w4a8_mg,256,512,5120,5120,128,286.96
o,w8a8,-,1024,5120,5120,128,158.26
o,w4a8_pc,inf,1024,5120,5120,128,137.06
o,w4a8_mg,1024,1024,5120,5120,128,194.92
o,w4a8_mg,512,1024,5120,5120,128,298.86
o,w4a8_mg,256,1024,5120,5120,128,557.88
gate_up,w8a8,-,1,55296,5120,16,247.24
gate_up,w4a8_pc,inf,1,55296,5120,16,132.98
gate_up,w4a8_mg,1024,1,55296,5120,16,149.64
gate_up,w4a8_mg,512,1,55296,5120,16,267.34
gate_up,w4a8_mg,256,1,55296,5120,16,520.46
gate_up,w8a8,-,16,55296,5120,16,249.18
gate_up,w4a8_pc,inf,16,55296,5120,16,132.68
gate_up,w4a8_mg,1024,16,55296,5120,16,149.42
gate_up,w4a8_mg,512,16,55296,5120,16,266.92
gate_up,w4a8_mg,256,16,55296,5120,16,521.41
gate_up,w8a8,-,64,55296,5120,64,285.06
gate_up,w4a8_pc,inf,64,55296,5120,64,165.56
gate_up,w4a8_mg,1024,64,55296,5120,64,201.04
gate_up,w4a8_mg,512,64,55296,5120,64,302.91
gate_up,w4a8_mg,256,64,55296,5120,64,535.60
gate_up,w8a8,-,512,55296,5120,128,1254.90
gate_up,w4a8_pc,inf,512,55296,5120,128,793.51
gate_up,w4a8_mg,1024,512,55296,5120,128,1028.77
gate_up,w4a8_mg,512,512,55296,5120,128,1601.76
gate_up,w4a8_mg,256,512,55296,5120,128,3015.38
gate_up,w8a8,-,1024,55296,5120,128,2483.14
gate_up,w4a8_pc,inf,1024,55296,5120,128,1564.74
gate_up,w4a8_mg,1024,1024,55296,5120,128,2155.11
gate_up,w4a8_mg,512,1024,55296,5120,128,3248.00
gate_up,w4a8_mg,256,1024,55296,5120,128,5984.41
down,w8a8,-,1,5120,27648,16,124.80
down,w4a8_pc,inf,1,5120,27648,16,73.63
down,w4a8_mg,1024,1,5120,27648,16,77.38
down,w4a8_mg,512,1,5120,27648,16,139.17
down,w4a8_mg,256,1,5120,27648,16,266.57
down,w8a8,-,16,5120,27648,16,124.87
down,w4a8_pc,inf,16,5120,27648,16,73.20
down,w4a8_mg,1024,16,5120,27648,16,76.69
down,w4a8_mg,512,16,5120,27648,16,139.23
down,w4a8_mg,256,16,5120,27648,16,265.71
down,w8a8,-,64,5120,27648,64,144.19
down,w4a8_pc,inf,64,5120,27648,64,98.46
down,w4a8_mg,1024,64,5120,27648,64,106.80
down,w4a8_mg,512,64,5120,27648,64,148.45
down,w4a8_mg,256,64,5120,27648,64,264.37
down,w8a8,-,512,5120,27648,128,620.09
down,w4a8_pc,inf,512,5120,27648,128,370.69
down,w4a8_mg,1024,512,5120,27648,128,508.44
down,w4a8_mg,512,512,5120,27648,128,774.91
down,w4a8_mg,256,512,5120,27648,128,1472.09
down,w8a8,-,1024,5120,27648,128,1193.36
down,w4a8_pc,inf,1024,5120,27648,128,708.04
down,w4a8_mg,1024,1024,5120,27648,128,989.97
down,w4a8_mg,512,1024,5120,27648,128,1533.94
down,w4a8_mg,256,1024,5120,27648,128,2928.86
