model,proj,layers,par,tp,M,N,K,tileM,mg_us,w8_us,mg_vs_w8
qwq32b,gate_up,64,col,4,16,13824,5120,16,49.82,69.84,0.713
qwq32b,down,64,row,4,16,5120,6912,16,35.72,43.16,0.828
qwq32b,qkv,64,col,1,64,7680,5120,64,41.73,48.07,0.868
qwq32b,o,64,row,1,64,5120,5120,64,33.05,36.90,0.896
qwq32b,gate_up,64,col,1,64,55296,5120,64,207.23,286.25,0.724
qwq32b,down,64,row,1,64,5120,27648,64,109.60,144.50,0.758
qwq32b,qkv,64,col,2,64,3840,5120,64,29.36,33.37,0.880
qwq32b,o,64,row,2,64,5120,2560,64,27.09,24.18,1.120
qwq32b,gate_up,64,col,2,64,27648,5120,64,110.08,142.15,0.774
qwq32b,down,64,row,2,64,5120,13824,64,66.83,78.03,0.856
qwq32b,qkv,64,col,4,64,1920,5120,64,19.31,21.01,0.919
qwq32b,o,64,row,4,64,5120,1280,64,23.95,18.85,1.271
qwq32b,gate_up,64,col,4,64,13824,5120,64,64.51,78.23,0.825
qwq32b,down,64,row,4,64,5120,6912,64,46.67,48.23,0.968
