proj,variant,gk,M,N,K,tileM,avg_us
qkv,w8a8,-,1,7168,5120,16,41.01
qkv,w4a8_pc,inf,1,7168,5120,16,29.02
qkv,w4a8_mg,1024,1,7168,5120,16,31.89
qkv,w4a8_mg,512,1,7168,5120,16,45.41
qkv,w4a8_mg,256,1,7168,5120,16,77.87
qkv,w8a8,-,16,7168,5120,16,41.17
qkv,w4a8_pc,inf,16,7168,5120,16,28.61
qkv,w4a8_mg,1024,16,7168,5120,16,32.52
qkv,w4a8_mg,512,16,7168,5120,16,45.23
qkv,w4a8_mg,256,16,7168,5120,16,77.42
qkv,w8a8,-,64,7168,5120,64,46.37
qkv,w4a8_pc,inf,64,7168,5120,64,35.36
qkv,w4a8_mg,1024,64,7168,5120,64,39.55
qkv,w4a8_mg,512,64,7168,5120,64,53.50
qkv,w4a8_mg,256,64,7168,5120,64,85.46
qkv,w8a8,-,512,7168,5120,128,120.48
qkv,w4a8_pc,inf,512,7168,5120,128,106.06
qkv,w4a8_mg,1024,512,7168,5120,128,148.88
qkv,w4a8_mg,512,512,7168,5120,128,219.98
qkv,w4a8_mg,256,512,7168,5120,128,411.96
qkv,w8a8,-,1024,7168,5120,128,206.76
qkv,w4a8_pc,inf,1024,7168,5120,128,187.44
qkv,w4a8_mg,1024,1024,7168,5120,128,272.12
qkv,w4a8_mg,512,1024,7168,5120,128,408.94
qkv,w4a8_mg,256,1024,7168,5120,128,777.20
o,w8a8,-,1,5120,5120,16,32.52
o,w4a8_pc,inf,1,5120,5120,16,25.31
o,w4a8_mg,1024,1,5120,5120,16,26.70
o,w4a8_mg,512,1,5120,5120,16,36.40
o,w4a8_mg,256,1,5120,5120,16,58.52
o,w8a8,-,16,5120,5120,16,32.63
o,w4a8_pc,inf,16,5120,5120,16,23.84
o,w4a8_mg,1024,16,5120,5120,16,26.35
o,w4a8_mg,512,16,5120,5120,16,36.45
o,w4a8_mg,256,16,5120,5120,16,58.92
o,w8a8,-,64,5120,5120,64,36.64
o,w4a8_pc,inf,64,5120,5120,64,29.70
o,w4a8_mg,1024,64,5120,5120,64,32.01
o,w4a8_mg,512,64,5120,5120,64,41.00
o,w4a8_mg,256,64,5120,5120,64,63.93
o,w8a8,-,512,5120,5120,128,90.65
o,w4a8_pc,inf,512,5120,5120,128,77.91
o,w4a8_mg,1024,512,5120,5120,128,106.94
o,w4a8_mg,512,512,5120,5120,128,153.95
o,w4a8_mg,256,512,5120,5120,128,281.05
o,w8a8,-,1024,5120,5120,128,160.30
o,w4a8_pc,inf,1024,5120,5120,128,136.36
o,w4a8_mg,1024,1024,5120,5120,128,200.06
o,w4a8_mg,512,1024,5120,5120,128,291.60
o,w4a8_mg,256,1024,5120,5120,128,546.32
gate_up,w8a8,-,1,55296,5120,16,249.14
gate_up,w4a8_pc,inf,1,55296,5120,16,132.56
gate_up,w4a8_mg,1024,1,55296,5120,16,149.71
gate_up,w4a8_mg,512,1,55296,5120,16,267.20
gate_up,w4a8_mg,256,1,55296,5120,16,520.79
gate_up,w8a8,-,16,55296,5120,16,248.51
gate_up,w4a8_pc,inf,16,55296,5120,16,132.60
gate_up,w4a8_mg,1024,16,55296,5120,16,149.64
gate_up,w4a8_mg,512,16,55296,5120,16,267.54
gate_up,w4a8_mg,256,16,55296,5120,16,521.26
gate_up,w8a8,-,64,55296,5120,64,287.24
gate_up,w4a8_pc,inf,64,55296,5120,64,165.91
gate_up,w4a8_mg,1024,64,55296,5120,64,202.27
gate_up,w4a8_mg,512,64,55296,5120,64,304.49
gate_up,w4a8_mg,256,64,55296,5120,64,537.84
gate_up,w8a8,-,512,55296,5120,128,1248.86
gate_up,w4a8_pc,inf,512,55296,5120,128,794.28
gate_up,w4a8_mg,1024,512,55296,5120,128,1028.26
gate_up,w4a8_mg,512,512,55296,5120,128,1558.92
gate_up,w4a8_mg,256,512,55296,5120,128,2940.13
gate_up,w8a8,-,1024,55296,5120,128,2482.42
gate_up,w4a8_pc,inf,1024,55296,5120,128,1566.34
gate_up,w4a8_mg,1024,1024,55296,5120,128,2150.55
gate_up,w4a8_mg,512,1024,55296,5120,128,3197.79
gate_up,w4a8_mg,256,1024,55296,5120,128,5838.01
down,w8a8,-,1,5120,27648,16,124.50
down,w4a8_pc,inf,1,5120,27648,16,73.60
down,w4a8_mg,1024,1,5120,27648,16,77.01
down,w4a8_mg,512,1,5120,27648,16,139.76
down,w4a8_mg,256,1,5120,27648,16,267.02
down,w8a8,-,16,5120,27648,16,124.86
down,w4a8_pc,inf,16,5120,27648,16,73.59
down,w4a8_mg,1024,16,5120,27648,16,77.65
down,w4a8_mg,512,16,5120,27648,16,139.14
down,w4a8_mg,256,16,5120,27648,16,266.73
down,w8a8,-,64,5120,27648,64,145.20
down,w4a8_pc,inf,64,5120,27648,64,98.64
down,w4a8_mg,1024,64,5120,27648,64,106.62
down,w4a8_mg,512,64,5120,27648,64,149.26
down,w4a8_mg,256,64,5120,27648,64,265.02
down,w8a8,-,512,5120,27648,128,615.46
down,w4a8_pc,inf,512,5120,27648,128,373.87
down,w4a8_mg,1024,512,5120,27648,128,510.38
down,w4a8_mg,512,512,5120,27648,128,760.23
down,w4a8_mg,256,512,5120,27648,128,1442.57
down,w8a8,-,1024,5120,27648,128,1202.06
down,w4a8_pc,inf,1024,5120,27648,128,709.07
down,w4a8_mg,1024,1024,5120,27648,128,986.44
down,w4a8_mg,512,1024,5120,27648,128,1501.69
down,w4a8_mg,256,1024,5120,27648,128,2869.88
