batch,nonproj_us,bf16_us,w8a8_us,w8a8_pq_us,w4a8_mlp_us,w4a8_all4_us,w4a8_pq_us
1,78.738,953.748,492.309,475.300,432.053,378.409,342.253
16,134.050,1179.275,600.068,567.582,554.422,500.648,467.449
64,401.940,1655.863,994.706,927.816,916.569,877.174,828.646
128,711.306,1970.067,1276.576,1204.334,1390.035,1361.121,1301.589
