arm,layers,tp,pp,graph,cudagraph_mode,batch,prompt_len,out_len,total_s,gen_tok,step_us,per_layer_us,throughput_tok_s,prefill_ms,async_sched
w4a8-ckpt,64,1,1,aclgraph,FULL_DECODE_ONLY,1,1024,64,1.9329,64,30201.23,471.894,33.11,,0
w4a8-ckpt,64,1,1,aclgraph,FULL_DECODE_ONLY,16,1024,64,2.5613,1024,40020.92,625.327,399.79,,0
