layer,linear,K,N,x_chan_spread,w_chan_spread,sym_base,t1w_base,asym_base,wonly_base,sym_awq.25,t1w_awq.25,asym_awq.25,wonly_awq.25,sym_awq.5,t1w_awq.5,asym_awq.5,wonly_awq.5,sym_wflat.5,t1w_wflat.5,asym_wflat.5,wonly_wflat.5,sym_wflat1,t1w_wflat1,asym_wflat1,wonly_wflat1,sym_mix,t1w_mix,asym_mix,wonly_mix
1,mlp.up_proj,5120,27648,711.38,8.791,24.612,12.595,26.464,24.781,26.987,10.784,29.649,27.008,22.825,10.407,26.132,22.833,24.905,13.772,26.218,25.178,22.509,15.201,23.414,22.916,28.894,11.469,30.602,28.958
1,mlp.down_proj,27648,5120,1253.19,10.842,13.162,10.737,13.552,17.217,13.94,12.771,14.956,14.004,10.617,14.053,11.343,10.622,10.581,11.311,10.667,22.095,9.4,17.806,9.623,22.356,15.469,9.707,16.379,18.381
2,self_attn.q_proj,5120,5120,338.04,11.254,25.846,12.511,27.293,25.92,24.752,11.332,26.825,24.766,21.282,10.459,23.946,21.285,25.168,13.411,26.4,25.348,21.206,15.943,22.377,21.451,26.204,12.054,27.805,26.253
2,self_attn.k_proj,5120,1024,338.04,9.617,26.822,12.989,28.35,26.909,26.093,11.511,27.909,26.113,22.398,10.269,25.074,22.4,26.596,14.032,27.554,26.796,22.992,16.111,24.108,23.2,27.372,12.399,28.937,27.424
2,self_attn.v_proj,5120,1024,338.04,1.482,18.183,14.875,19.34,18.374,21.026,14.303,22.236,21.093,20.774,13.481,22.357,20.792,20.074,15.311,21.212,20.203,20.355,16.307,21.561,20.428,21.571,13.596,23.016,21.607
2,self_attn.o_proj,5120,5120,11.3,1.285,21.706,15.787,22.885,21.757,21.728,14.796,23.081,21.756,20.344,13.386,21.859,20.358,21.727,16.133,22.86,21.781,21.531,16.439,22.655,21.59,21.919,15.042,23.184,21.949
2,mlp.gate_proj,5120,27648,129.18,6.546,28.408,13.958,31.881,28.432,22.229,11.92,25.753,22.248,21.14,11.941,20.868,21.148,32.627,15.36,34.311,32.974,26.286,16.08,27.267,28.279,28.518,12.804,32.863,28.523
2,mlp.up_proj,5120,27648,129.18,2.309,20.503,13.948,22.055,20.675,23.41,11.888,25.268,23.457,20.337,10.065,23.081,20.341,22.289,15.172,23.742,22.478,22.728,15.712,23.982,22.902,24.56,12.744,26.416,24.602
2,mlp.down_proj,27648,5120,5012.97,37.0,19.635,15.624,21.002,19.774,20.872,15.248,22.573,20.969,18.075,12.759,20.339,18.129,19.78,11.868,21.104,19.938,19.24,16.626,20.467,19.391,20.765,13.6,22.462,20.873
3,self_attn.q_proj,5120,5120,114.14,3.309,22.919,13.857,24.336,22.993,22.607,11.953,24.291,22.629,20.3,10.875,22.362,20.308,22.743,14.72,23.994,22.863,20.734,16.034,21.902,20.875,23.281,12.678,24.814,23.316
3,self_attn.k_proj,5120,1024,114.14,3.578,23.644,14.094,24.949,23.726,23.045,11.572,24.913,23.066,20.409,10.21,22.685,20.414,23.33,14.929,24.445,23.459,21.325,16.054,22.468,21.479,23.784,12.529,25.368,23.821
3,self_attn.v_proj,5120,1024,114.14,1.178,17.535,15.912,18.67,17.666,20.014,14.83,21.387,20.067,19.651,12.935,21.188,19.667,18.936,15.881,20.087,19.031,19.498,16.314,20.724,19.561,20.439,14.268,21.897,20.474
3,self_attn.o_proj,5120,5120,17.1,1.789,19.511,16.09,20.725,19.59,19.079,14.83,20.555,19.114,16.914,12.716,18.967,16.929,19.582,16.393,20.719,19.679,19.303,16.536,20.426,19.43,19.554,15.377,20.926,19.599
3,mlp.gate_proj,5120,27648,108.08,4.435,30.323,15.03,33.626,30.36,27.239,11.888,27.899,27.268,25.26,9.714,26.897,25.257,32.815,16.088,33.418,33.106,28.625,16.484,29.817,29.155,31.651,13.447,31.646,31.705
3,mlp.up_proj,5120,27648,108.08,1.572,16.95,15.696,18.131,17.218,20.305,13.723,21.864,20.382,17.519,10.842,20.268,17.526,18.709,16.092,19.964,18.961,19.637,16.152,20.791,19.847,21.095,14.13,22.839,21.154
3,mlp.down_proj,27648,5120,873.85,11.324,18.53,15.786,19.786,18.863,19.592,15.117,21.096,19.763,17.201,12.422,19.162,17.291,18.538,13.619,19.745,18.993,18.182,16.41,19.317,18.607,19.419,13.988,20.916,19.715
4,self_attn.q_proj,5120,5120,57.36,2.496,23.005,14.431,24.396,23.101,22.418,11.83,24.096,22.443,19.65,9.817,21.684,19.655,22.826,15.67,24.017,22.988,21.155,16.336,22.309,21.365,23.267,13.168,24.744,23.314
4,self_attn.k_proj,5120,1024,57.36,3.087,24.137,14.689,25.528,24.237,23.09,11.58,24.892,23.114,19.81,9.32,22.069,19.814,23.753,15.933,24.957,23.935,21.752,16.445,22.869,21.992,24.102,13.174,25.682,24.151
4,self_attn.v_proj,5120,1024,57.36,1.118,17.505,16.319,18.766,17.658,19.114,14.714,20.486,19.167,18.022,12.41,19.607,18.038,18.591,16.298,19.803,18.684,18.989,16.417,20.247,19.06,19.503,14.542,20.946,19.539
4,self_attn.o_proj,5120,5120,5.46,1.226,19.261,16.134,20.473,19.306,19.294,15.662,20.531,19.327,18.475,14.717,19.908,18.497,19.32,16.251,20.511,19.368,19.273,16.309,20.453,19.323,19.382,15.803,20.605,19.416
