layer,linear,config,M,N,K,tier1_x_db,tier1_w_db,tier2_db
2,mlp.up_proj,w8a8-mg1024,2048,27648,5120,27.805,39.072,34.134
2,mlp.up_proj,w4a8-mg1024,2048,27648,5120,27.805,13.948,20.462
2,mlp.up_proj,w4a8-pc,2048,27648,5120,24.738,12.232,18.585
2,mlp.down_proj,w8a8,2048,5120,27648,22.585,32.968,20.958
2,mlp.down_proj,w8a8-mg1024,2048,5120,27648,32.561,36.015,33.331
2,mlp.down_proj,w4a8-mg1024,2048,5120,27648,32.561,15.624,19.618
2,mlp.down_proj,w4a8-pc,2048,5120,27648,22.585,13.163,15.372
3,self_attn.q_proj,w8a8,2048,5120,5120,28.331,36.455,36.724
3,self_attn.q_proj,w8a8-mg1024,2048,5120,5120,31.63,38.119,39.827
3,self_attn.q_proj,w4a8-mg1024,2048,5120,5120,31.63,13.857,23.038
3,self_attn.q_proj,w4a8-pc,2048,5120,5120,28.331,12.275,21.258
3,self_attn.k_proj,w8a8,2048,1024,5120,28.331,36.766,37.061
3,self_attn.k_proj,w8a8-mg1024,2048,1024,5120,31.63,38.483,40.17
3,self_attn.k_proj,w4a8-mg1024,2048,1024,5120,31.63,14.094,23.695
3,self_attn.k_proj,w4a8-pc,2048,1024,5120,28.331,12.449,21.97
3,self_attn.v_proj,w8a8,2048,1024,5120,28.331,39.659,29.006
3,self_attn.v_proj,w8a8-mg1024,2048,1024,5120,31.63,40.791,32.18
3,self_attn.v_proj,w4a8-mg1024,2048,1024,5120,31.63,15.912,17.523
3,self_attn.v_proj,w4a8-pc,2048,1024,5120,28.331,14.831,16.319
3,self_attn.o_proj,w8a8,2048,5120,5120,28.703,39.422,31.945
3,self_attn.o_proj,w8a8-mg1024,2048,5120,5120,33.529,41.262,36.06
3,self_attn.o_proj,w4a8-mg1024,2048,5120,5120,33.529,16.09,19.381
3,self_attn.o_proj,w4a8-pc,2048,5120,5120,28.703,14.256,17.639
